bengali_date,gregorian_Date
"16 , Ogrohaeon (Agrahan) 1387",02/12/1980
"17 , Ogrohaeon (Agrahan) 1387",03/12/1980
"18 , Ogrohaeon (Agrahan) 1387",04/12/1980
"19 , Ogrohaeon (Agrahan) 1387",05/12/1980
"20 , Ogrohaeon (Agrahan) 1387",06/12/1980
"21 , Ogrohaeon (Agrahan) 1387",07/12/1980
"22 , Ogrohaeon (Agrahan) 1387",08/12/1980
"23 , Ogrohaeon (Agrahan) 1387",09/12/1980
"24 , Ogrohaeon (Agrahan) 1387",10/12/1980
"25 , Ogrohaeon (Agrahan) 1387",11/12/1980
"26 , Ogrohaeon (Agrahan) 1387",12/12/1980
"27 , Ogrohaeon (Agrahan) 1387",13/12/1980
"28 , Ogrohaeon (Agrahan) 1387",14/12/1980
"29 , Ogrohaeon (Agrahan) 1387",15/12/1980
"1 , Poush 1387",16/12/1980
"2 , Poush 1387",17/12/1980
"3 , Poush 1387",18/12/1980
"4 , Poush 1387",19/12/1980
"5 , Poush 1387",20/12/1980
"6 , Poush 1387",21/12/1980
"7 , Poush 1387",22/12/1980
"8 , Poush 1387",23/12/1980
"9 , Poush 1387",24/12/1980
"10 , Poush 1387",25/12/1980
"11 , Poush 1387",26/12/1980
"12 , Poush 1387",27/12/1980
"13 , Poush 1387",28/12/1980
"14 , Poush 1387",29/12/1980
"15 , Poush 1387",30/12/1980
"16 , Poush 1387",31/12/1980
"17 , Poush 1387",01/01/1981
"18 , Poush 1387",02/01/1981
"19 , Poush 1387",03/01/1981
"20 , Poush 1387",04/01/1981
"21 , Poush 1387",05/01/1981
"22 , Poush 1387",06/01/1981
"23 , Poush 1387",07/01/1981
"24 , Poush 1387",08/01/1981
"25 , Poush 1387",09/01/1981
"26 , Poush 1387",10/01/1981
"27 , Poush 1387",11/01/1981
"28 , Poush 1387",12/01/1981
"29 , Poush 1387",13/01/1981
"30 , Poush 1387",14/01/1981
"1 , Magh (Maagh) 1388",15/01/1981
"2 , Magh (Maagh) 1388",16/01/1981
"3 , Magh (Maagh) 1388",17/01/1981
"4 , Magh (Maagh) 1388",18/01/1981
"5 , Magh (Maagh) 1388",19/01/1981
"6 , Magh (Maagh) 1388",20/01/1981
"7 , Magh (Maagh) 1388",21/01/1981
